productid,bigcategory,subcategory,productname,price,,
FUR-FU-10003832,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",69.78,,
FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",36.78,,
FUR-FU-10003878,Furniture,Furnishings,"Linden 10 Round Wall Clock, Black",31.78,,
FUR-FU-10003919,Furniture,Furnishings,Eldon Executive Woodline II Cherry Finish Desk Accessories,56.78,,
FUR-FU-10003930,Furniture,Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,51.78,,
FUR-FU-10003975,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,55.78,,
FUR-FU-10003976,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",71.78,,
FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,25.78,,
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",71.78,,
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49",83.78,,
FUR-FU-10004018,Furniture,Furnishings,Tensor Computer Mounted Lamp,26.78,,
FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,31.78,,
FUR-FU-10004053,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,38.78,,
FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,53.78,,
FUR-FU-10004090,Furniture,Furnishings,Executive Impressions 14 Contract Wall Clock,42.78,,
FUR-FU-10004091,Furniture,Furnishings,Howard Miller 13 Diameter Goldtone Round Wall Clock,49.78,,
FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,37.78,,
FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",37.78,,
FUR-FU-10004188,Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,42.78,,
FUR-FU-10004245,Furniture,Furnishings,"Career Cubicle Clock, 8 1/4, Black",32.78,,
FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",43.78,,
FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,29.78,,
FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,24.78,,
FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",39.78,,
FUR-FU-10004460,Furniture,Furnishings,Howard Miller 12 Round Wall Clock,31.78,,
FUR-FU-10004586,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,47.78,,
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",54.78,,
FUR-FU-10004597,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,47.78,,
FUR-FU-10004622,Furniture,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,54.78,,
FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",48.78,,
FUR-FU-10004666,Furniture,Furnishings,DAX Clear Channel Poster Frame,28.78,,
FUR-FU-10004671,Furniture,Furnishings,Executive Impressions 12 Wall Clock,33.78,,
FUR-FU-10004712,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",51.78,,
FUR-FU-10004748,Furniture,Furnishings,Howard Miller 16 Diameter Gallery Wall Clock,42.78,,
FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",41.78,,
FUR-FU-10004848,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,59.78,,
FUR-FU-10004864,Furniture,Furnishings,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,51.78,,
FUR-FU-10004904,Furniture,Furnishings,Eldon L Workstation Diamond Chairmat,34.78,,
FUR-FU-10004909,Furniture,Furnishings,Contemporary Wood/Metal Frame,27.78,,
FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",72.78,,
FUR-FU-10004960,Furniture,Furnishings,Seth Thomas 12 Clock w/ Goldtone Case,35.78,,
FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",44.78,,
FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,20.78,,
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,55.33,,
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,44.33,,
FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",68.33,,
FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",62.33,,
FUR-TA-10000849,Furniture,Tables,Bevis Rectangular Conference Tables,34.33,,
FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,25.33,,
FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",53.33,,
FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,33.33,,
FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",79.33,,
FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",77.33,,
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,39.33,,
FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,43.33,,
FUR-TA-10001691,Furniture,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",64.33,,
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,47.33,,
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,30.33,,
FUR-TA-10001771,Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",44.33,,
FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,32.33,,
FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,43.33,,
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,51.33,,
FUR-TA-10001932,Furniture,Tables,Chromcraft 48 x 96 Racetrack Double Pedestal Table,49.33,,
FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,27.33,,
FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",39.33,,
FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",50.33,,
FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,33.33,,
FUR-TA-10002530,Furniture,Tables,Iceberg OfficeWorks 42 Round Tables,34.33,,
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,20.33,,
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,19.33,,
FUR-TA-10002622,Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",55.33,,
FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,32.33,,
FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,25.33,,
FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,52.33,,
FUR-TA-10002903,Furniture,Tables,Bevis Round Bullnose 29 High Table Top,37.33,,
FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",34.33,,
FUR-TA-10003008,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",50.33,,
FUR-TA-10003238,Furniture,Tables,Chromcraft Bull-Nose Wood 48 x 96 Rectangular Conference Tables,62.33,,
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,38.33,,
FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,39.33,,
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,41.33,,
FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,44.33,,
FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,38.33,,
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,30.33,,
FUR-TA-10003837,Furniture,Tables,Anderson Hickey Conga Table Tops & Accessories,45.33,,
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,28.33,,
FUR-TA-10004086,Furniture,Tables,KI Adjustable-Height Table,25.33,,
FUR-TA-10004147,Furniture,Tables,Hon 4060 Series Tables,21.33,,
FUR-TA-10004152,Furniture,Tables,Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf,67.33,,
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",75.33,,
FUR-TA-10004175,Furniture,Tables,Hon 30 x 60 Table with Locking Drawer,36.33,,
FUR-TA-10004256,Furniture,Tables,Bretford ?�Just In Time??Height-Adjustable Multi-Task Work Tables,63.33,,
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,64.33,,
FUR-TA-10004442,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,46.33,,
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,30.33,,
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,26.33,,
FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,40.33,,
FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,29.33,,
FUR-TA-10004767,Furniture,Tables,Safco Drafting Table,19.33,,
FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2H x 24W x 20D",48.33,,
OFF-AP-10000026,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,67.33,,
OFF-AP-10000027,Office Supplies,Appliances,Hoover Commercial SteamVac,25.33,,
OFF-AP-10000055,Office Supplies,Appliances,Belkin F9S820V06 8 Outlet Surge,30.33,,
OFF-AP-10000124,Office Supplies,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,44.33,,
OFF-AP-10000159,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,30.33,,
OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,69.33,,
OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,34.33,,
OFF-AP-10000252,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,31.33,,
OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",84.33,,
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,64.33,,
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,49.33,,
OFF-AP-10000390,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,31.33,,
OFF-AP-10000576,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster II,29.33,,
OFF-AP-10000595,Office Supplies,Appliances,Disposable Triple-Filter Dust Bags,33.33,,
OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,40.33,,
OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,18.33,,
OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,32.33,,
OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,30.33,,
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,62.33,,
OFF-AP-10000938,Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,30.33,,
OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,35.33,,
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,49.33,,
OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,72.33,,
OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,47.33,,
OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,40.33,,
OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,47.33,,
OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,46.33,,
OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,30.33,,
OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",97.33,,
OFF-AP-10001366,Office Supplies,Appliances,Staple holder,12.33,,
OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,62.33,,
OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,19.33,,
OFF-AP-10001469,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,53.33,,
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4 Cord Length",41.33,,
OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,55.33,,
OFF-AP-10001564,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,67.33,,
OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",81.33,,
OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,43.33,,
OFF-AP-10001947,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,51.33,,
OFF-AP-10001962,Office Supplies,Appliances,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,71.33,,
OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,23.33,,
OFF-AP-10002118,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,47.33,,
OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,50.33,,
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,63.33,,
OFF-AP-10002222,Office Supplies,Appliances,Staple holder,12.33,,
OFF-AP-10002287,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",62.33,,
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",75.33,,
OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,52.33,,
OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,72.33,,
OFF-AP-10002439,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,45.33,,
OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",55.33,,
OFF-AP-10002472,Office Supplies,Appliances,3M Office Air Cleaner,20.33,,
OFF-AP-10002495,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",68.33,,
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,43.33,,
OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,48.33,,
OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",75.33,,
OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,34.33,,
OFF-AP-10002670,Office Supplies,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,55.33,,
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",72.33,,
OFF-AP-10002734,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,48.33,,
OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,49.33,,
OFF-AP-10002867,Office Supplies,Appliances,Fellowes Command Center 5-outlet power strip,43.33,,
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,31.33,,
OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,73.33,,
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room,63.33,,
OFF-AP-10002998,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,27.33,,
OFF-AP-10003040,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,84.33,,
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16 x 20 Room,63.33,,
OFF-AP-10003099,Office Supplies,Appliances,"Eureka Hand Vacuum, Bagless",26.33,,
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,35.33,,
OFF-AP-10003266,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",57.33,,
OFF-AP-10003278,Office Supplies,Appliances,Belkin 7-Outlet SurgeMaster Home Series,38.33,,
OFF-AP-10003281,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,47.33,,
OFF-AP-10003287,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,49.33,,
OFF-AP-10003590,Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,37.33,,
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",78.33,,
OFF-AP-10003779,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,74.33,,
OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,26.33,,
OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,45.33,,
OFF-AP-10003860,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,68.33,,
OFF-AP-10003884,Office Supplies,Appliances,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",50.33,,
OFF-AP-10003914,Office Supplies,Appliances,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",70.33,,
OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,35.33,,
OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,31.33,,
OFF-AP-10004052,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",79.33,,
OFF-AP-10004136,Office Supplies,Appliances,Kensington 6 Outlet SmartSocket Surge Protector,46.33,,
OFF-AP-10004233,Office Supplies,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,63.33,,
OFF-AP-10004249,Office Supplies,Appliances,Staple holder,12.33,,
OFF-AP-10004336,Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",81.33,,
OFF-AP-10004487,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,59.33,,
OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,52.33,,
OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",47.33,,
OFF-AP-10004655,Office Supplies,Appliances,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",91.33,,
OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,48.33,,
OFF-AP-10004785,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",58.33,,
OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,46.33,,
OFF-AP-10004868,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,73.33,,
OFF-AP-10004980,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20 x 33 Room,60.33,,
OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",50.8,,
OFF-AR-10000122,Office Supplies,Art,Newell 314,9.8,,
OFF-AR-10000127,Office Supplies,Art,Newell 321,9.8,,
OFF-AR-10000203,Office Supplies,Art,Newell 336,9.8,,
OFF-AR-10000246,Office Supplies,Art,Newell 318,9.8,,
OFF-AR-10000255,Office Supplies,Art,Newell 328,9.8,,
OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",39.8,,
OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil,28.8,,
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",46.8,,
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,18.8,,
OFF-AR-10000411,Office Supplies,Art,Boston 16701 Slimline Battery Pencil Sharpener,45.8,,
OFF-AR-10000422,Office Supplies,Art,Pencil and Crayon Sharpener,26.8,,
OFF-AR-10000462,Office Supplies,Art,Sanford Pocket Accent Highlighters,33.8,,
OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",57.8,,
OFF-AR-10000538,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpener, Gray",48.8,,
OFF-AR-10000588,Office Supplies,Art,Newell 345,9.8,,
OFF-AR-10000614,Office Supplies,Art,Barrel Sharpener,15.8,,
OFF-AR-10000634,Office Supplies,Art,Newell 320,9.8,,
OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",66.8,,
OFF-AR-10000658,Office Supplies,Art,Newell 324,9.8,,
OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,42.8,,
OFF-AR-10000799,Office Supplies,Art,Col-Erase Pencils with Erasers,29.8,,
OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,37.8,,
OFF-AR-10000823,Office Supplies,Art,Newell 307,9.8,,
OFF-AR-10000896,Office Supplies,Art,Newell 329,9.8,,
OFF-AR-10000914,Office Supplies,Art,Boston 16765 Mini Stand Up Battery Pencil Sharpener,50.8,,
OFF-AR-10000937,Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",56.8,,
OFF-AR-10000940,Office Supplies,Art,Newell 343,9.8,,
OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,44.8,,
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",55.8,,
OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",40.8,,
OFF-AR-10001118,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",53.8,,
OFF-AR-10001130,Office Supplies,Art,"Quartet Alpha White Chalk, 12/Pack",33.8,,
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",40.8,,
OFF-AR-10001166,Office Supplies,Art,Staples in misc. colors,22.8,,
OFF-AR-10001177,Office Supplies,Art,Newell 349,9.8,,
OFF-AR-10001216,Office Supplies,Art,Newell 339,9.8,,
OFF-AR-10001221,Office Supplies,Art,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",54.8,,
OFF-AR-10001227,Office Supplies,Art,Newell 338,9.8,,
OFF-AR-10001231,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",51.8,,
OFF-AR-10001246,Office Supplies,Art,Newell 317,9.8,,
OFF-AR-10001315,Office Supplies,Art,Newell 310,9.8,,
OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",39.8,,
OFF-AR-10001419,Office Supplies,Art,Newell 325,9.8,,
OFF-AR-10001427,Office Supplies,Art,Newell 330,9.8,,
OFF-AR-10001446,Office Supplies,Art,Newell 309,9.8,,
OFF-AR-10001468,Office Supplies,Art,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",68.8,,
OFF-AR-10001473,Office Supplies,Art,Newell 313,9.8,,
OFF-AR-10001545,Office Supplies,Art,Newell 326,9.8,,
OFF-AR-10001547,Office Supplies,Art,Newell 311,9.8,,
OFF-AR-10001573,Office Supplies,Art,American Pencil,14.8,,
OFF-AR-10001615,Office Supplies,Art,Newell 34,8.8,,
OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,38.8,,
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,13.8,,
OFF-AR-10001725,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,57.8,,
OFF-AR-10001761,Office Supplies,Art,Avery Hi-Liter Smear-Safe Highlighters,37.8,,
OFF-AR-10001770,Office Supplies,Art,Economy #2 Pencils,17.8,,
OFF-AR-10001860,Office Supplies,Art,BIC Liqua Brite Liner,20.8,,
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,26.8,,
OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,43.8,,
OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers,21.8,,
OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",26.8,,
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",53.8,,
OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,56.8,,
OFF-AR-10001954,Office Supplies,Art,Newell 331,9.8,,
OFF-AR-10001955,Office Supplies,Art,Newell 319,9.8,,
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,55.8,,
OFF-AR-10001972,Office Supplies,Art,Newell 323,9.8,,
OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,43.8,,
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",69.8,,
OFF-AR-10002067,Office Supplies,Art,Newell 334,9.8,,
OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,52.8,,
OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,23.8,,
OFF-AR-10002240,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,41.8,,
OFF-AR-10002255,Office Supplies,Art,Newell 346,9.8,,
OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",42.8,,
OFF-AR-10002280,Office Supplies,Art,Staples in misc. colors,22.8,,
